textid	predicted	wordpos
56de16ca4396321400ee25c6	[]	[]
56de16ca4396321400ee25c7	['In']	[1]
56de16ca4396321400ee25c8	['the']	[28]
5ad3f4b1604f3c001a3ff951	['In']	[1]
5ad3f4b1604f3c001a3ff952	[]	[]
5ad3f4b1604f3c001a3ff953	[]	[]
5ad3f4b1604f3c001a3ff954	[]	[]
56de1728cffd8e1900b4b5d7	[]	[]
5ad3f5b0604f3c001a3ff9ab	[]	[]
5ad3f5b0604f3c001a3ff9ac	[]	[]
5ad3f5b0604f3c001a3ff9ad	[]	[]
56de179dcffd8e1900b4b5da	['in']	[18]
56de179dcffd8e1900b4b5db	['at', 'Bannow']	[15, 16]
56de179dcffd8e1900b4b5dc	[]	[]
5ad3f6f5604f3c001a3ffa09	[]	[]
5ad3f6f5604f3c001a3ffa0a	[]	[]
5ad3f6f5604f3c001a3ffa0b	[]	[]
56de17f9cffd8e1900b4b5e0	[]	[]
56de17f9cffd8e1900b4b5e1	[]	[]
56de17f9cffd8e1900b4b5e2	['in']	[53]
56de17f9cffd8e1900b4b5e3	['son']	[81]
5ad3f7ac604f3c001a3ffa3b	[]	[]
5ad3f7ac604f3c001a3ffa3c	[]	[]
5ad3f7ac604f3c001a3ffa3d	[]	[]
56de3cd0cffd8e1900b4b6be	['married']	[49]
56de3cd0cffd8e1900b4b6bf	[]	[]
5ad3f8d2604f3c001a3ffa8d	[]	[]
5ad3f8d2604f3c001a3ffa8e	[]	[]
56de3d594396321400ee26ca	['of']	[29]
56de3d594396321400ee26cb	[]	[]
56de3d594396321400ee26cc	[]	[]
5ad3fb01604f3c001a3ffb35	['the']	[9]
5ad3fb01604f3c001a3ffb36	[]	[]
56de3dbacffd8e1900b4b6d2	['the']	[8]
5ad3fb6e604f3c001a3ffb5f	[]	[]
5ad3fb6e604f3c001a3ffb60	[]	[]
56de3e414396321400ee26d8	['In']	[37]
56de3e414396321400ee26d9	[',', 'William', 'of']	[70, 71, 72]
5ad3fc41604f3c001a3ffb8f	['in']	[23]
5ad3fc41604f3c001a3ffb90	[]	[]
5ad3fc41604f3c001a3ffb91	[]	[]
5ad3fc41604f3c001a3ffb92	[]	[]
56de3ebc4396321400ee26e6	['in']	[51]
56de3ebc4396321400ee26e7	['nephew']	[19]
56de3ebc4396321400ee26e8	['of']	[71]
5ad4017a604f3c001a3ffd1f	[]	[]
5ad4017a604f3c001a3ffd20	[]	[]
56de3efccffd8e1900b4b6fe	['following']	[35]
5ad401f2604f3c001a3ffd41	[]	[]
5ad401f2604f3c001a3ffd42	[]	[]
56de3f784396321400ee26fa	[]	[]
56de3f784396321400ee26fb	['fiancée']	[43]
56de3f784396321400ee26fc	[]	[]
56de3f784396321400ee26fd	[]	[]
5ad40280604f3c001a3ffd57	[]	[]
5ad40280604f3c001a3ffd58	[]	[]
5ad40280604f3c001a3ffd59	[]	[]
56de40da4396321400ee2708	[]	[]
56de40da4396321400ee2709	[]	[]
56de40da4396321400ee270a	[]	[]
5ad404a6604f3c001a3ffde1	[]	[]
5ad404a6604f3c001a3ffde2	[]	[]
5ad404a6604f3c001a3ffde3	[]	[]
56de49564396321400ee277a	[]	[]
5ad40419604f3c001a3ffdb7	[]	[]
5ad40419604f3c001a3ffdb8	[]	[]
56de49a8cffd8e1900b4b7a7	['TEXT']	[0]
56de49a8cffd8e1900b4b7a8	[]	[]
56de49a8cffd8e1900b4b7a9	['nephew']	[26]
5ad403c1604f3c001a3ffd97	[]	[]
5ad403c1604f3c001a3ffd98	[]	[]
56de4a474396321400ee2786	['the', 'Channel', 'in']	[26, 27, 25]
56de4a474396321400ee2787	['in']	[35]
5ad40358604f3c001a3ffd7d	[]	[]
5ad40358604f3c001a3ffd7e	[]	[]
5ad40358604f3c001a3ffd7f	[]	[]
56de4a89cffd8e1900b4b7bd	['to', 'England', 'and']	[26, 27, 28]
56de4a89cffd8e1900b4b7be	['by']	[54]
5ad402ce604f3c001a3ffd67	[]	[]
56de4b074396321400ee2793	[]	[]
56de4b074396321400ee2794	[]	[]
56de4b074396321400ee2795	[]	[]
5ad400b0604f3c001a3ffcdf	['the', 'Early']	[19, 20]
5ad400b0604f3c001a3ffce0	[]	[]
5ad400b0604f3c001a3ffce1	[]	[]
56de4b5c4396321400ee2799	['the', 'early', '11th']	[25, 26, 27]
56de4b5c4396321400ee279a	[]	[]
5ad3ffd7604f3c001a3ffca7	[]	[]
5ad3ffd7604f3c001a3ffca8	[]	[]
5ad3ffd7604f3c001a3ffca9	[]	[]
5ad3ffd7604f3c001a3ffcaa	[]	[]
56de4bb84396321400ee27a2	['the']	[7]
5ad3ff1b604f3c001a3ffc73	[]	[]
5ad3ff1b604f3c001a3ffc74	[]	[]
56de4c324396321400ee27ab	[]	[]
56de4c324396321400ee27ac	['the', 'Bayeux', 'Tapestry']	[11, 12, 13]
56de4c324396321400ee27ad	['by', 'Odo']	[29, 30]
5ad3fe91604f3c001a3ffc47	['the', 'Bayeux']	[11, 12]
5ad3fe91604f3c001a3ffc48	['by']	[29]
56de51244396321400ee27ef	[]	[]
5ad3fe0d604f3c001a3ffc1b	[]	[]
5ad3fe0d604f3c001a3ffc1c	[]	[]
5ad3fe0d604f3c001a3ffc1d	[]	[]
56de51c64396321400ee27f7	['the']	[16]
56de51c64396321400ee27f8	[',', 'William', 'of', 'Volpiano', 'and', 'John']	[42, 43, 44, 45, 46, 47]
5ad3fd68604f3c001a3ffbe7	[]	[]
5ad3fd68604f3c001a3ffbe8	[]	[]
56de52614396321400ee27fb	['to', 'southern']	[34, 35]
56de52614396321400ee27fc	['""\'""', 'Eufemia\']"']	[52, 53]
56de52614396321400ee27fd	['by', 'Robert']	[42, 43]
56de52614396321400ee27fe	[]	[]
5ad3fccf604f3c001a3ffbb5	['several']	[27]
56e16182e3433e1400422e28	['TEXT', 'Computational']	[0, 1]
56e16182e3433e1400422e29	[]	[]
56e16182e3433e1400422e2a	[]	[]
5ad5316b5b96ef001a10ab72	['principle', 'amenable']	[48, 49]
5ad5316b5b96ef001a10ab73	['TEXT', 'Computational']	[0, 1]
5ad5316b5b96ef001a10ab74	[]	[]
5ad5316b5b96ef001a10ab75	[]	[]
5ad5316b5b96ef001a10ab76	[]	[]
56e16839cd28a01900c67887	[]	[]
56e16839cd28a01900c67888	[]	[]
56e16839cd28a01900c67889	[]	[]
56e16839cd28a01900c6788a	[]	[]
56e16839cd28a01900c6788b	[]	[]
5ad532575b96ef001a10ab7c	[]	[]
5ad532575b96ef001a10ab7d	[]	[]
5ad532575b96ef001a10ab7e	[]	[]
5ad532575b96ef001a10ab7f	[]	[]
5ad532575b96ef001a10ab80	[]	[]
56e17644e3433e1400422f40	['of', 'algorithms', 'and', 'computability']	[10, 11, 12, 13]
56e17644e3433e1400422f41	[]	[]
56e17644e3433e1400422f42	[]	[]
56e17644e3433e1400422f43	[]	[]
5ad5344b5b96ef001a10ab86	['of', 'algorithms', 'and', 'computability']	[10, 11, 12, 13]
5ad5344b5b96ef001a10ab87	[]	[]
5ad5344b5b96ef001a10ab88	[]	[]
5ad5344b5b96ef001a10ab89	[]	[]
5ad5344b5b96ef001a10ab8a	[]	[]
56e17a7ccd28a01900c679a1	[]	[]
56e17a7ccd28a01900c679a2	[]	[]
56e17a7ccd28a01900c679a3	['concrete']	[73]
56e17a7ccd28a01900c679a4	[]	[]
56e17a7ccd28a01900c679a5	[]	[]
5ad5364c5b96ef001a10ab90	[]	[]
5ad5364c5b96ef001a10ab91	[]	[]
5ad5364c5b96ef001a10ab92	[]	[]
5ad5364c5b96ef001a10ab93	[]	[]
5ad5364c5b96ef001a10ab94	[]	[]
56e17e6ee3433e1400422f7f	['most']	[33]
56e17e6ee3433e1400422f80	[]	[]
56e17e6ee3433e1400422f81	[]	[]
5ad537a15b96ef001a10ab9a	[]	[]
5ad537a15b96ef001a10ab9b	['of', 'for', 'solving', 'other']	[56, 59, 60, 61]
5ad537a15b96ef001a10ab9c	[]	[]
5ad537a15b96ef001a10ab9d	[]	[]
56e181d9e3433e1400422fa0	['the', 'binary']	[24, 25]
56e181d9e3433e1400422fa1	[]	[]
56e181d9e3433e1400422fa2	[]	[]
56e181d9e3433e1400422fa3	['in', 'binary']	[74, 75]
56e181d9e3433e1400422fa4	['adjacency']	[86]
5ad5391e5b96ef001a10aba2	[]	[]
5ad5391e5b96ef001a10aba3	[]	[]
5ad5391e5b96ef001a10aba4	[]	[]
5ad5391e5b96ef001a10aba5	[]	[]
5ad5391e5b96ef001a10aba6	[]	[]
56e190bce3433e1400422fc8	[]	[]
56e190bce3433e1400422fc9	['either', 'yes', 'or', 'no', ',', 'alternately', '1']	[29, 30, 31, 32, 33, 34, 35]
56e190bce3433e1400422fca	['either', 'yes', 'or', 'no', ',', 'alternately', '1', 'is']	[29, 30, 31, 32, 33, 34, 35, 28]
56e190bce3433e1400422fcb	[]	[]
56e190bce3433e1400422fcc	[]	[]
5ad53b9d5b96ef001a10abc8	['TEXT', 'Decision']	[0, 1]
5ad53b9d5b96ef001a10abc9	[]	[]
5ad53b9d5b96ef001a10abca	[]	[]
5ad53b9d5b96ef001a10abcb	[]	[]
5ad53b9d5b96ef001a10abcc	[]	[]
56e19557e3433e1400422fee	['an']	[14]
56e19557e3433e1400422ff0	[]	[]
56e19557e3433e1400422ff1	[]	[]
5ad53d705b96ef001a10abd2	[]	[]
5ad53d705b96ef001a10abd3	[]	[]
5ad53d705b96ef001a10abd4	[]	[]
5ad53d705b96ef001a10abd5	[]	[]
56e19724cd28a01900c679f6	[]	[]
56e19724cd28a01900c679f7	[]	[]
56e19724cd28a01900c679f8	[]	[]
56e19724cd28a01900c679f9	[]	[]
56e19724cd28a01900c679fa	[]	[]
5ad53e615b96ef001a10abda	[]	[]
5ad53e615b96ef001a10abdb	[]	[]
5ad53e615b96ef001a10abdc	[]	[]
5ad53e615b96ef001a10abdd	[]	[]
5ad53e615b96ef001a10abde	[]	[]
56e1a0dccd28a01900c67a2e	['recast', 'as', 'decision']	[36, 37, 38]
56e1a0dccd28a01900c67a2f	['of']	[55]
5ad53f815b96ef001a10abe4	[]	[]
5ad53f815b96ef001a10abe5	[]	[]
5ad53f815b96ef001a10abe6	[]	[]
56e1a38de3433e140042305c	['the', 'size', 'of', 'input', 'in']	[93, 94, 95, 96, 97]
56e1a38de3433e140042305d	[]	[]
56e1a38de3433e140042305e	[]	[]
56e1a38de3433e140042305f	['in']	[98]
56e1a38de3433e1400423060	['the', 'input', 'an', 'increase', 'in']	[113, 114, 110, 111, 112]
5ad541ad5b96ef001a10abea	['how', 'time', 'the', 'best']	[16, 18, 19, 20]
5ad541ad5b96ef001a10abeb	[]	[]
5ad541ad5b96ef001a10abec	[]	[]
5ad541ad5b96ef001a10abed	[]	[]
5ad541ad5b96ef001a10abee	[]	[]
56e1a564cd28a01900c67a48	['Cobham', '.']	[83, 82]
56e1a564cd28a01900c67a49	[]	[]
56e1a564cd28a01900c67a4a	[]	[]
56e1a564cd28a01900c67a4b	[]	[]
56e1a564cd28a01900c67a4c	[]	[]
5ad542db5b96ef001a10abf4	[]	[]
5ad542db5b96ef001a10abf5	[]	[]
5ad542db5b96ef001a10abf6	[]	[]
5ad542db5b96ef001a10abf7	[]	[]
5ad542db5b96ef001a10abf8	[]	[]
56e1aba0e3433e1400423094	['TEXT', 'A']	[0, 1]
56e1aba0e3433e1400423095	['by', 'an']	[75, 76]
56e1aba0e3433e1400423097	[]	[]
56e1aba0e3433e1400423098	['that', 'manipulates']	[19, 20]
5ad543c05b96ef001a10abfe	['A']	[1]
5ad543c05b96ef001a10abff	['A', 'Turing', 'TEXT']	[1, 2, 0]
5ad543c05b96ef001a10ac00	[]	[]
5ad543c05b96ef001a10ac01	[]	[]
56e1aff7cd28a01900c67a68	['A', 'deterministic', 'TEXT']	[1, 2, 0]
56e1aff7cd28a01900c67a69	[]	[]
56e1aff7cd28a01900c67a6a	[]	[]
56e1aff7cd28a01900c67a6b	[]	[]
56e1aff7cd28a01900c67a6c	[]	[]
5ad546c75b96ef001a10ac0e	[]	[]
5ad546c75b96ef001a10ac0f	['probabilistic']	[26]
5ad546c75b96ef001a10ac10	[]	[]
5ad546c75b96ef001a10ac11	[]	[]
5ad546c75b96ef001a10ac12	[]	[]
56e1b00ce3433e140042309e	['define', 'complexity']	[9, 10]
56e1b00ce3433e140042309f	[]	[]
56e1b00ce3433e14004230a1	['as', 'deterministic', 'Turing', 'probabilistic']	[14, 15, 16, 19]
5ad545545b96ef001a10ac06	[]	[]
5ad545545b96ef001a10ac07	[]	[]
5ad545545b96ef001a10ac08	[]	[]
5ad545545b96ef001a10ac09	[]	[]
56e1b169cd28a01900c67a72	['random', 'access']	[22, 23]
56e1b169cd28a01900c67a73	[]	[]
56e1b169cd28a01900c67a74	['The', 'time', 'and']	[45, 46, 47]
56e1b169cd28a01900c67a75	[]	[]
5ad547945b96ef001a10ac18	[]	[]
5ad547945b96ef001a10ac19	[]	[]
5ad547945b96ef001a10ac1a	[]	[]
5ad547945b96ef001a10ac1b	[]	[]
56e1b355e3433e14004230b0	['a', '-', 'deterministic']	[20, 22, 23]
56e1b355e3433e14004230b1	[]	[]
56e1b355e3433e14004230b2	[]	[]
56e1b355e3433e14004230b3	[]	[]
5ad5489b5b96ef001a10ac2a	[]	[]
5ad5489b5b96ef001a10ac2b	['a', 'non', '-', 'deterministic']	[20, 21, 22, 23]
5ad5489b5b96ef001a10ac2c	[]	[]
5ad5489b5b96ef001a10ac2d	[]	[]
5ad5489b5b96ef001a10ac2e	[]	[]
56e1b62ecd28a01900c67aa3	['"[\'""', 'or', 'no\']"']	[68, 70, 71]
56e1b62ecd28a01900c67aa4	[]	[]
56e1b62ecd28a01900c67aa5	[]	[]
56e1b62ecd28a01900c67aa6	[]	[]
5ad54a375b96ef001a10ac48	[]	[]
5ad54a375b96ef001a10ac49	[]	[]
5ad54a375b96ef001a10ac4a	[]	[]
5ad54a375b96ef001a10ac4b	[]	[]
5ad54a375b96ef001a10ac4c	[]	[]
56e1b754cd28a01900c67abc	[]	[]
56e1b754cd28a01900c67abd	[]	[]
56e1b754cd28a01900c67abe	[]	[]
56e1b754cd28a01900c67abf	[]	[]
56e1b754cd28a01900c67ac0	[]	[]
5ad54b035b96ef001a10ac52	[]	[]
5ad54b035b96ef001a10ac53	[]	[]
5ad54b035b96ef001a10ac54	[]	[]
5ad54b035b96ef001a10ac55	[]	[]
5ad54b035b96ef001a10ac56	[]	[]
56e1b8f3e3433e14004230e6	[]	[]
56e1b8f3e3433e14004230e7	[]	[]
56e1b8f3e3433e14004230e8	[]	[]
56e1b8f3e3433e14004230e9	[]	[]
5ad54c2f5b96ef001a10ac5c	[]	[]
5ad54c2f5b96ef001a10ac5d	[]	[]
5ad54c2f5b96ef001a10ac5e	[]	[]
5ad54c2f5b96ef001a10ac5f	[]	[]
56e1ba41cd28a01900c67ae0	[]	[]
56e1ba41cd28a01900c67ae1	['time']	[48]
56e1ba41cd28a01900c67ae2	[]	[]
5ad54d625b96ef001a10ac64	[]	[]
5ad54d625b96ef001a10ac65	[]	[]
5ad54d625b96ef001a10ac66	[]	[]
5ad54d625b96ef001a10ac67	[]	[]
5ad54d625b96ef001a10ac68	[]	[]
56e1bc3ae3433e1400423104	[]	[]
56e1bc3ae3433e1400423105	[]	[]
56e1bc3ae3433e1400423106	[]	[]
56e1bc3ae3433e1400423107	[]	[]
56e1bc3ae3433e1400423108	[]	[]
5ad54e7c5b96ef001a10ac76	['as', 'space']	[12, 13]
5ad54e7c5b96ef001a10ac77	[]	[]
5ad54e7c5b96ef001a10ac78	[]	[]
5ad54e7c5b96ef001a10ac79	[]	[]
5ad54e7c5b96ef001a10ac7a	[]	[]
56e1bd4acd28a01900c67afc	[]	[]
56e1bd4acd28a01900c67afd	[]	[]
56e1bd4acd28a01900c67afe	[]	[]
56e1bd4acd28a01900c67aff	[]	[]
5ad54f775b96ef001a10ac88	[]	[]
5ad54f775b96ef001a10ac89	[]	[]
5ad54f775b96ef001a10ac8a	[]	[]
5ad54f775b96ef001a10ac8b	[]	[]
56e1c0f6cd28a01900c67b2c	[]	[]
56e1c0f6cd28a01900c67b2d	[]	[]
56e1c0f6cd28a01900c67b2e	[]	[]
5ad5501f5b96ef001a10ac90	[]	[]
5ad5501f5b96ef001a10ac91	[]	[]
5ad5501f5b96ef001a10ac92	[]	[]
5ad5501f5b96ef001a10ac93	[]	[]
56e1c2eee3433e1400423134	['on', 'the', 'chosen', 'machine']	[21, 22, 23, 24]
56e1c2eee3433e1400423135	['requires', 'quadratic']	[57, 58]
56e1c2eee3433e1400423136	[]	[]
56e1c2eee3433e1400423137	[',', 'Cobham', '-']	[78, 79, 80]
56e1c2eee3433e1400423138	['class']	[119]
5ad55ee35b96ef001a10ace4	[]	[]
5ad55ee35b96ef001a10ace5	[]	[]
5ad55ee35b96ef001a10ace6	[]	[]
5ad55ee35b96ef001a10ace7	[]	[]
5ad55ee35b96ef001a10ace8	[',', 'Cobham', '-']	[78, 79, 80]
56e1c3e1e3433e1400423148	['the', 'time', 'or', 'bounding']	[10, 11, 12, 9]
56e1c3e1e3433e1400423149	[]	[]
56e1c3e1e3433e140042314a	[]	[]
5ad55fe75b96ef001a10ad0c	['Many', 'important', 'complexity']	[1, 2, 3]
5ad55fe75b96ef001a10ad0d	['the', 'time', 'or', 'bounding']	[10, 11, 12, 9]
5ad55fe75b96ef001a10ad0e	[]	[]
5ad55fe75b96ef001a10ad0f	[]	[]
56e1c4fce3433e140042314e	['include', 'BPP', ',', 'ZPP', 'and']	[5, 6, 7, 8, 9]
56e1c4fce3433e140042314f	['using', 'Boolean']	[27, 28]
56e1c4fce3433e1400423150	[]	[]
56e1c4fce3433e1400423151	[]	[]
56e1c4fce3433e1400423152	['using', 'Interactive']	[67, 68]
5ad560b85b96ef001a10ad1e	['include', 'BPP', ',', 'ZPP', 'and']	[5, 6, 7, 8, 9]
5ad560b85b96ef001a10ad1f	[]	[]
5ad560b85b96ef001a10ad20	[]	[]
5ad560b85b96ef001a10ad21	[]	[]
5ad560b85b96ef001a10ad22	[]	[]
56e1c720e3433e140042316a	[]	[]
56e1c720e3433e140042316b	[]	[]
56e1c720e3433e140042316c	[]	[]
56e1c720e3433e140042316d	['the', 'respective']	[100, 101]
56e1c720e3433e140042316e	[]	[]
5ad561c85b96ef001a10ad3c	[]	[]
5ad561c85b96ef001a10ad3d	[]	[]
5ad561c85b96ef001a10ad3e	[]	[]
5ad561c85b96ef001a10ad3f	[]	[]
5ad561c85b96ef001a10ad40	[]	[]
56e1c7e2cd28a01900c67b74	['The', 'time', 'and', 'space', 'hierarchy']	[1, 2, 3, 4, 5]
56e1c7e2cd28a01900c67b75	[]	[]
56e1c7e2cd28a01900c67b76	['in', 'PSPACE']	[47, 48]
5ad562525b96ef001a10ad50	[]	[]
5ad562525b96ef001a10ad51	['of', 'complexity']	[14, 15]
5ad562525b96ef001a10ad52	[]	[]
5ad562525b96ef001a10ad53	[]	[]
56e1c9bfe3433e1400423192	['of', 'a', 'concept']	[9, 10, 8]
56e1c9bfe3433e1400423193	[]	[]
56e1c9bfe3433e1400423194	['is', 'no', 'more', 'difficult', 'than']	[59, 60, 61, 62, 63]
56e1c9bfe3433e1400423195	['as', 'Cook', 'reductions', ',', 'Karp', 'and', 'Levin']	[91, 92, 93, 94, 95, 96, 97]
56e1c9bfe3433e1400423196	[]	[]
5ad5632f5b96ef001a10ad6c	[]	[]
5ad5632f5b96ef001a10ad6d	[]	[]
5ad5632f5b96ef001a10ad6e	[]	[]
5ad5632f5b96ef001a10ad6f	[]	[]
5ad5632f5b96ef001a10ad70	['as', 'Cook']	[91, 92]
56e1cbe2cd28a01900c67bac	['a', 'polynomial', '-', 'time']	[7, 8, 9, 10]
56e1cbe2cd28a01900c67bad	[]	[]
56e1cbe2cd28a01900c67bae	[]	[]
56e1cbe2cd28a01900c67baf	[]	[]
56e1cbe2cd28a01900c67bb0	[]	[]
5ad5648b5b96ef001a10ad94	[]	[]
5ad5648b5b96ef001a10ad95	[]	[]
5ad5648b5b96ef001a10ad96	[]	[]
5ad5648b5b96ef001a10ad97	[]	[]
5ad5648b5b96ef001a10ad98	[]	[]
56e1ce08e3433e14004231a4	['the', 'type', 'of', 'reduction', 'being', 'on']	[71, 72, 73, 74, 75, 70]
56e1ce08e3433e14004231a5	[]	[]
56e1ce08e3433e14004231a6	[]	[]
56e1ce08e3433e14004231a8	[]	[]
5ad565575b96ef001a10adb2	[]	[]
5ad565575b96ef001a10adb3	[]	[]
5ad565575b96ef001a10adb4	[]	[]
5ad565575b96ef001a10adb5	[]	[]
56e1d9fee3433e14004231cb	[]	[]
56e1d9fee3433e14004231cc	[]	[]
56e1d9fee3433e14004231cd	[]	[]
56e1d9fee3433e14004231ce	[]	[]
5ad566375b96ef001a10adce	[]	[]
5ad566375b96ef001a10adcf	[]	[]
5ad566375b96ef001a10add0	[]	[]
5ad566375b96ef001a10add1	[]	[]
56e1dc62cd28a01900c67bca	[]	[]
56e1dc62cd28a01900c67bcb	['the', 'Cobham', '–', 'Edmonds']	[26, 27, 28, 29]
56e1dc62cd28a01900c67bcc	[]	[]
56e1dc62cd28a01900c67bcd	[]	[]
56e1dc62cd28a01900c67bce	[]	[]
5ad567055b96ef001a10adea	['TEXT', 'The', 'complexity', 'class']	[0, 1, 2, 3]
5ad567055b96ef001a10adeb	[]	[]
5ad567055b96ef001a10adec	[]	[]
5ad567055b96ef001a10aded	[]	[]
5ad567055b96ef001a10adee	[]	[]
56e1ddfce3433e14004231d5	[]	[]
56e1ddfce3433e14004231d6	[]	[]
56e1ddfce3433e14004231d8	['a', 'US', '$', '1', ',', '000']	[103, 104, 105, 106, 107, 108]
5ad568175b96ef001a10ae10	[]	[]
5ad568175b96ef001a10ae11	[]	[]
5ad568175b96ef001a10ae12	[]	[]
5ad568175b96ef001a10ae13	[]	[]
5ad568175b96ef001a10ae14	['a', 'US', '$', '1', ',', '000']	[103, 104, 105, 106, 107, 108]
56e1ded7cd28a01900c67bd4	['by']	[4]
56e1ded7cd28a01900c67bd5	['isomorphism']	[38]
56e1ded7cd28a01900c67bd6	[]	[]
5ad568d35b96ef001a10ae1a	['by']	[4]
5ad568d35b96ef001a10ae1b	[]	[]
5ad568d35b96ef001a10ae1c	[]	[]
5ad568d35b96ef001a10ae1d	[]	[]
56e1e9dfe3433e14004231fc	['The', 'isomorphism']	[1, 3]
56e1e9dfe3433e14004231fd	[]	[]
56e1e9dfe3433e14004231fe	[]	[]
56e1e9dfe3433e14004231ff	['its']	[79]
56e1e9dfe3433e1400423200	['to', 'Laszlo', 'Babai', 'and', 'Eugene']	[120, 121, 122, 123, 124]
5ad569c05b96ef001a10ae36	[]	[]
5ad569c05b96ef001a10ae37	['isomorphism']	[3]
5ad569c05b96ef001a10ae38	[]	[]
5ad569c05b96ef001a10ae39	[]	[]
